Filename,Penalty,P,Iter,Function_Value,Optimal_X,Distribution,Num_Evaluations,Phase_Time,Total_Time
Problem_5Sat3Gs_0_4.json,1.5,3,1,-3.572054,"[2.723549495334682, 0.7364180030915692, -2.177293766085417, -1.0274348354575866, -0.49626261081114725, 0.7444324991314895]","""0,616,1,593,1000,341,1001,236,2,108,2000,49,3,45,1002,22,2001,21,1003,6,4,5,3000,3,2002,2,5,1""",1000,589.81,7956.14
Problem_5Sat3Gs_0_4.json,1.5,3,2,-3.423794,"[0.2872586297453094, 0.03985119928805541, -5.195926073815475, -2.435266159294536, 0.19674251911780533, -0.044606304738665566]","""1,960,1000,385,0,272,3,138,2,112,1001,71,2000,50,1002,38,4,11,5,5,2002,3,1003,2,3000,1""",1000,1150.35,8516.68
Problem_5Sat3Gs_0_4.json,1.5,3,3,-3.674866,"[-1.53372728113873, 1.7571640462437803, 2.493015520675219, 4.229938985179179, 1.4015180061239931, -0.10878662931518003]","""1,920,0,554,2,176,1000,170,3,93,1001,85,1002,16,4,14,2000,12,1003,6,2002,1,5,1""",1000,1716.46,9082.79
Problem_5Sat3Gs_0_4.json,1.5,3,4,-4.190120,"[0.19460119908905218, 2.5595392616022603, 2.2663140056785696, 3.425488145914947, 2.6508380625359815, 0.9287211478464595]","""0,1173,1,561,1000,173,2,69,1001,41,2000,23,3,5,2001,2,1002,1""",1000,2287.01,9653.34
Problem_5Sat3Gs_0_4.json,1.5,3,5,-3.814234,"[3.1275470479473175, -0.16209288320473678, -0.5535086522565037, 2.5571608216888655, -5.952224582437176, 2.3208531459499935]","""0,824,1,527,1000,304,2,212,1001,100,2000,38,3,23,1002,12,2001,5,4,2,5,1""",1000,2857.79,10224.13
Problem_5Sat3Gs_0_4.json,1.5,3,6,-3.806454,"[1.4597016881454885, 5.374295942805835, 2.473161007281735, 7.525925351531789, -5.61490399142537, 0.7771029415933008]","""0,804,1,548,1000,387,2,106,1001,84,2000,58,3,32,1002,19,2002,5,4,4,2001,1""",1000,3430.45,10796.78
Problem_5Sat3Gs_0_4.json,1.5,3,7,-3.691263,"[1.6561204756468428, 4.127208260694444, 0.663652725092208, 5.802575856280574, -8.016679301137092, -0.6095681085208047]","""0,682,1,583,1000,348,2,198,1001,84,3,60,1002,48,2000,22,4,13,5,3,1003,3,2002,2,2001,2""",1000,3997.94,11364.27
Problem_5Sat3Gs_0_4.json,1.5,3,8,-3.333793,"[1.5313054187280113, -0.07913739209984468, 2.1232209933752895, 6.777929358296696, -4.37453363750863, -0.004060340199761351]","""1,920,1000,321,0,255,2,195,3,138,1001,118,1002,37,2000,25,1003,15,4,11,5,8,2001,3,2002,2""",1000,4564.37,11930.70
Problem_5Sat3Gs_0_4.json,1.5,3,9,-3.713326,"[-1.5937005508253594, 4.576483612450475, -3.269570413360272, 1.6388561025201704, -7.324763327380208, 2.324059286195613]","""1,679,0,674,1000,266,2,233,1001,152,3,19,2000,12,1002,11,2001,2""",1000,5133.88,12500.22
Problem_5Sat3Gs_0_4.json,1.5,3,10,-3.498982,"[2.177344860892408, 3.1189289622574496, -0.6986180848351723, 2.5374880252578076, -10.275515593334699, 3.5829367693260026]","""0,558,1,516,1000,478,2,153,1001,145,2000,80,3,47,1002,45,2001,8,4,7,1003,6,3000,3,2002,2""",1000,5698.93,13065.26
Problem_5Sat3Gs_0_4.json,1.5,4,1,-3.663999,"[1.2274804708645641, 3.5520874607908612, 3.7679128347570896, 2.150869347878055, 5.444942752862598, 3.9883663456653506, 1.8010454939851503, 1.8472633643334198]","""0,605,1,540,1000,524,2,185,1001,115,2000,46,3,17,1002,13,3000,2,1003,1""",1000,729.69,13794.95
Problem_5Sat3Gs_0_4.json,1.5,4,2,-3.815756,"[2.151512295267649, 3.9868404058359825, 2.313195325410452, 0.9493198306367766, 2.4971315466665187, 5.03123641757438, 2.0928468715290625, -0.46284829749047013]","""0,889,1000,431,1,358,2,197,1001,46,3,43,1002,32,2000,29,4,13,1003,5,5,4,2002,1""",1000,1428.35,14493.61
Problem_5Sat3Gs_0_4.json,1.5,4,3,-4.057256,"[-0.16967167626573937, 2.433026613054215, 2.488941932958759, 0.10478665459134992, 0.6036903180063885, 6.1572407267929306, 2.419855792231185, -1.0882058362271814]","""0,1073,1,510,1000,239,2,119,1001,54,2000,34,3,11,1002,3,4,2,2001,2,1003,1""",1000,2125.73,15190.99
Problem_5Sat3Gs_0_4.json,1.5,4,4,-4.201403,"[3.3572258232120307, 1.595097665491298, 2.5573478721646374, -0.871427696235312, 3.4055974640269726, 3.217532069079221, -0.42897271087123146, -0.09819201031530836]","""0,1220,1,527,1000,166,2,63,1001,53,2000,8,3,7,1002,2,2001,1,1003,1""",1000,2826.19,15891.45
Problem_5Sat3Gs_0_4.json,1.5,4,5,-3.471664,"[-0.191134683818569, 3.4224813287948184, 3.2664307002892654, -2.023936040052654, 2.7007009592165145, 1.4091989244865117, 0.29996770336556233, 1.0744427599810802]","""1,1058,2,331,1000,274,0,213,1001,104,3,45,1002,16,4,4,2000,3""",1000,3526.16,16591.42
Problem_5Sat3Gs_0_4.json,1.5,4,6,-3.890373,"[1.4685863845576235, 0.38425151937246926, -2.5761362433067627, 0.6203057742983146, 4.2458214690850244, -4.283522779254033, 1.0181017071451572, 0.21366459660301412]","""0,879,1000,552,1,404,1001,74,2000,64,2,58,1002,7,3,6,3000,2,1003,1,2001,1""",1000,4220.50,17285.76
Problem_5Sat3Gs_0_4.json,1.5,4,7,-3.346534,"[1.6249646714694956, 1.363357675933466, 1.5404173047573926, -2.8936432652246773, 0.6611332110881541, -11.851477089803655, 5.631620812867999, -3.5268622618223824]","""1,555,0,533,2,383,3,169,1000,134,1001,113,2000,84,4,25,1002,24,2001,17,1003,5,5,4,3000,1,2002,1""",1000,4919.33,17984.59
Problem_5Sat3Gs_0_4.json,1.5,4,8,-3.546740,"[4.995959991025362, -5.242450353988479, -0.20351715611268503, 2.0574991495466355, 0.6798071773699772, -4.035089656871932, 2.7097703565053806, -0.19401819907846254]","""0,598,1,560,1000,284,2,204,1001,200,2000,79,3,63,1002,31,2001,12,4,9,1003,4,3000,3,2002,1""",1000,5616.31,18681.57
Problem_5Sat3Gs_0_4.json,1.5,4,9,-3.409569,"[3.6486629281451295, 4.968192504957692, 1.7989869213512812, 1.1042184980034193, 4.989412786874093, -5.199239004194856, 0.6603433043524455, -1.1913370391004157]","""1,561,0,516,1000,412,1001,198,2,140,2000,124,3,33,1002,33,2001,14,3000,11,1003,4,2002,2""",1000,6316.11,19381.37
Problem_5Sat3Gs_0_4.json,1.5,4,10,-3.779794,"[0.8892205327255687, 6.797716176185823, 3.299880398809412, -0.44435376969149337, 14.75945444899484, -12.054089209354133, 0.22309945643953158, -0.9706270019162648]","""0,805,1,437,1000,380,2,254,1001,105,3,25,1002,20,2000,12,4,4,1003,4,2001,2""",1000,7008.26,20073.52
Problem_5Sat3Gs_0_4.json,1.5,5,1,-3.350948,"[3.0347286918726653, 2.373133862246486, 3.511094724110551, -1.4257139699800512, -1.3666051802595065, 3.029351459859935, 3.8932290700806313, -1.6798269382740527, 1.1758274059992246, 0.9930828120999607]","""0,553,1,530,2,274,1001,248,1000,222,1002,70,3,48,2000,44,2001,28,1003,11,3000,8,4,8,2002,4""",1000,876.07,20949.59
