Filename,Penalty,P,Iter,Function_Value,Optimal_X,Distribution,Num_Evaluations,Phase_Time,Total_Time
Problem_5Sat3Gs_0_4.json,1.5,3,2,-4.549232,"[-0.19765997784374548, -0.13621356143879124, -0.09360928198153863, 0.677859582304292, 1.1175766098747906, 1.3740777454057473]","""0,1702,1,270,1000,51,2,16,1001,7,2000,2""",1000,559.45,2635.66
Problem_5Sat3Gs_0_4.json,1.5,3,3,-4.549232,"[-0.19765997784374548, -0.13621356143879124, -0.09360928198153863, 0.677859582304292, 1.1175766098747906, 1.3740777454057473]","""0,1704,1,270,1000,53,2,13,1001,5,2000,2,3,1""",1000,826.86,2903.07
Problem_5Sat3Gs_0_4.json,1.5,3,4,-4.549232,"[-0.19765997784374548, -0.13621356143879124, -0.09360928198153863, 0.677859582304292, 1.1175766098747906, 1.3740777454057473]","""0,1686,1,278,1000,53,2,21,1001,9,3,1""",1000,1091.28,3167.49
Problem_5Sat3Gs_0_4.json,1.5,3,5,-4.549232,"[-0.19765997784374548, -0.13621356143879124, -0.09360928198153863, 0.677859582304292, 1.1175766098747906, 1.3740777454057473]","""0,1719,1,255,1000,43,2,19,1001,11,2000,1""",1000,1355.73,3431.94
Problem_5Sat3Gs_0_4.json,1.5,3,6,-4.549232,"[-0.19765997784374548, -0.13621356143879124, -0.09360928198153863, 0.677859582304292, 1.1175766098747906, 1.3740777454057473]","""0,1716,1,248,1000,49,2,26,1001,8,3,1""",1000,1621.31,3697.51
Problem_5Sat3Gs_0_4.json,1.5,3,7,-4.549232,"[-0.19765997784374548, -0.13621356143879124, -0.09360928198153863, 0.677859582304292, 1.1175766098747906, 1.3740777454057473]","""0,1717,1,244,1000,68,2,9,1001,7,2000,3""",1000,1887.27,3963.47
Problem_5Sat3Gs_0_4.json,1.5,3,8,-4.549232,"[-0.19765997784374548, -0.13621356143879124, -0.09360928198153863, 0.677859582304292, 1.1175766098747906, 1.3740777454057473]","""0,1691,1,278,1000,46,2,24,1001,6,3,2,2000,1""",1000,2153.55,4229.76
Problem_5Sat3Gs_0_4.json,1.5,3,9,-4.549232,"[-0.19765997784374548, -0.13621356143879124, -0.09360928198153863, 0.677859582304292, 1.1175766098747906, 1.3740777454057473]","""0,1710,1,260,1000,49,2,17,1001,8,2000,2,3,2""",1000,2419.03,4495.23
Problem_5Sat3Gs_0_4.json,1.5,3,10,-4.549232,"[-0.19765997784374548, -0.13621356143879124, -0.09360928198153863, 0.677859582304292, 1.1175766098747906, 1.3740777454057473]","""0,1712,1,269,1000,45,2,10,1001,9,3,2,2000,1""",1000,2683.72,4759.92
Problem_5Sat3Gs_0_4.json,1.5,4,1,-4.575743,"[-0.1886303052932654, -0.14461856209525795, -0.09423426184449915, -0.034913118331674896, 0.5825305868008549, 1.0098666079530276, 1.2411836577442348, 1.0509951329232163]","""0,1735,1,249,1000,37,2,21,3,5,2000,1""",1000,360.44,5120.36
