Filename,Penalty,P,Iter,Function_Value,Optimal_X,Distribution,Num_Evaluations,Phase_Time,Total_Time
Problem_5Sat3Gs_0_4.json,1.5,1,1,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,913,0,598,2,302,2000,77,1001,50,1000,48,2001,37,3,14,1002,5,3000,3,4,1""",399,32.40,32.40
Problem_5Sat3Gs_0_4.json,1.5,1,2,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,870,0,606,2,332,1000,68,2000,55,1001,52,2001,33,3,22,1002,8,3000,2""",399,59.11,59.11
Problem_5Sat3Gs_0_4.json,1.5,1,3,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,882,0,638,2,293,2000,66,1000,66,1001,44,2001,30,3,17,1002,7,3000,3,4,2""",399,85.28,85.28
Problem_5Sat3Gs_0_4.json,1.5,1,4,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,923,0,596,2,309,2000,65,1001,46,1000,44,2001,42,3,16,3000,4,1002,3""",399,111.72,111.72
Problem_5Sat3Gs_0_4.json,1.5,1,5,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,904,0,585,2,307,1000,79,2000,73,1001,45,2001,29,3,20,3000,5,1002,1""",399,136.87,136.87
Problem_5Sat3Gs_0_4.json,1.5,1,6,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,863,0,597,2,325,2000,75,1000,67,1001,52,2001,31,3,25,1002,11,3000,1,4,1""",399,162.69,162.69
Problem_5Sat3Gs_0_4.json,1.5,1,7,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,874,0,632,2,294,2000,71,1000,57,1001,52,2001,35,3,23,1002,9,3000,1""",399,187.93,187.93
Problem_5Sat3Gs_0_4.json,1.5,1,8,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,844,0,624,2,338,2000,70,1000,53,1001,48,2001,44,3,13,1002,7,3000,6,4,1""",399,213.27,213.27
Problem_5Sat3Gs_0_4.json,1.5,1,9,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,900,0,577,2,321,2000,78,1001,57,1000,51,2001,41,3,15,1002,4,3000,3,2002,1""",399,240.07,240.07
Problem_5Sat3Gs_0_4.json,1.5,1,10,-3.692557,"[-0.15017742825542046, 1.2770277766310056]","""1,883,0,613,2,305,2000,78,1000,60,1001,53,2001,37,3,14,1002,3,3000,1,2002,1""",399,265.47,265.47
Problem_5Sat3Gs_0_4.json,1.5,2,1,-4.216013,"[-0.17761322337644048, -0.11632893485318577, 0.7669374643714659, 1.450850820241805]","""0,1243,1,509,1000,130,2,65,1001,47,2000,38,2001,8,3,4,1002,4""",923,95.45,360.92
Problem_5Sat3Gs_0_4.json,1.5,2,2,-4.216013,"[-0.17761322337644048, -0.11632893485318577, 0.7669374643714659, 1.450850820241805]","""0,1275,1,485,1000,111,2,77,2000,56,1001,24,2001,11,3000,5,3,4""",923,180.38,445.85
Problem_5Sat3Gs_0_4.json,1.5,2,3,-4.216013,"[-0.17761322337644048, -0.11632893485318577, 0.7669374643714659, 1.450850820241805]","""0,1258,1,543,1000,118,2,51,2000,50,1001,21,3,6,2001,1""",923,266.99,532.46
Problem_5Sat3Gs_0_4.json,1.5,2,4,-4.216013,"[-0.17761322337644048, -0.11632893485318577, 0.7669374643714659, 1.450850820241805]","""0,1217,1,528,1000,127,2,73,2000,57,1001,29,3,9,2001,5,1002,2,3000,1""",923,350.84,616.31
