Filename,Penalty,P,Iter,Function_Value,Optimal_X,Distribution,Num_Evaluations,Phase_Time,Total_Time
Problem_5Sat3Gs_0_4.json,1.5,1,1,-3.692536,"[2.9914626581550388, 1.2861849931486777]","""1,869,0,607,2,331,2000,67,1000,65,1001,44,2001,40,3,19,1002,5,4,1""",434,38.03,38.03
Problem_5Sat3Gs_0_4.json,1.5,1,2,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,887,0,598,2,303,1000,68,2000,64,1001,56,2001,37,3,23,1002,9,4,2,3000,1""",339,61.82,61.83
Problem_5Sat3Gs_0_4.json,1.5,1,3,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,879,0,618,2,288,2000,74,1000,68,1001,57,2001,33,3,22,1002,7,3000,2""",339,85.37,85.37
Problem_5Sat3Gs_0_4.json,1.5,1,4,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,871,0,608,2,328,2000,72,1000,64,1001,51,2001,30,3,14,1002,9,2002,1""",339,108.96,108.97
Problem_5Sat3Gs_0_4.json,1.5,1,5,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,874,0,625,2,285,1000,75,2000,71,1001,54,2001,40,3,16,1002,5,3000,3""",339,132.59,132.59
Problem_5Sat3Gs_0_4.json,1.5,1,6,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,879,0,593,2,302,1000,80,2000,76,1001,47,2001,35,3,26,1002,6,3000,2,2002,1,4,1""",339,156.19,156.19
Problem_5Sat3Gs_0_4.json,1.5,1,7,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,865,0,618,2,299,2000,78,1000,62,1001,54,2001,39,3,23,1002,7,3000,1,2002,1,4,1""",339,179.81,179.81
Problem_5Sat3Gs_0_4.json,1.5,1,8,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,866,0,617,2,310,2000,79,1000,62,1001,46,2001,38,3,22,1002,6,4,1,3000,1""",339,203.41,203.41
Problem_5Sat3Gs_0_4.json,1.5,1,9,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,865,0,627,2,306,2000,72,1000,64,1001,49,2001,36,3,21,1002,5,3000,3""",339,227.11,227.11
Problem_5Sat3Gs_0_4.json,1.5,1,10,-3.692548,"[-0.15012741775141694, 1.275466472334594]","""1,861,0,626,2,304,2000,81,1000,66,1001,50,2001,32,3,19,1002,8,4,1""",339,250.55,250.55
Problem_5Sat3Gs_0_4.json,1.5,2,1,-4.215966,"[-0.17728529243842234, -0.11599643021598166, 0.7690160117608653, 1.4475494082056728]","""0,1264,1,531,1000,108,2,60,2000,44,1001,27,2001,8,3,4,3000,1,1002,1""",762,84.45,335.00
