problem,penalty,p,iter,energy,prob_opt,prob_unfeas,min,freq_min,mode,freq_mode,num_evaluations,phase_time,total_time
Problem_5Sat3Gs_1_8.json,1.5,4,7,-6.856351,0.533203125,0.18896484375,1,0.533203125,1,0.533203125,1651,2775.29,5804.0
Problem_5Sat3Gs_1_8.json,1.5,4,8,-6.856351,0.513671875,0.18212890625,1,0.513671875,1,0.513671875,1651,3166.68,6195.39
Problem_5Sat3Gs_1_8.json,1.5,4,9,-6.856351,0.52001953125,0.20751953125,1,0.52001953125,1,0.52001953125,1651,3558.3,6587.01
Problem_5Sat3Gs_1_8.json,1.5,4,10,-6.856351,0.52294921875,0.1884765625,1,0.52294921875,1,0.52294921875,1651,3950.72,6979.42
Problem_5Sat3Gs_1_8.json,1.5,5,1,-7.07823,0.69140625,0.189453125,1,0.69140625,1,0.69140625,1598,490.25,7469.68
Problem_5Sat3Gs_1_8.json,1.5,5,2,-7.07823,0.6787109375,0.20556640625,1,0.6787109375,1,0.6787109375,1598,953.25,7932.68
Problem_5Sat3Gs_1_8.json,1.5,5,3,-7.07823,0.6767578125,0.20068359375,1,0.6767578125,1,0.6767578125,1598,1412.11,8391.54
Problem_5Sat3Gs_1_8.json,1.5,5,4,-7.07823,0.70654296875,0.17919921875,1,0.70654296875,1,0.70654296875,1598,1872.83,8852.25
Problem_5Sat3Gs_1_8.json,1.5,5,5,-7.07823,0.66796875,0.2109375,1,0.66796875,1,0.66796875,1598,2333.42,9312.84
Problem_5Sat3Gs_1_8.json,1.5,5,6,-7.07823,0.68701171875,0.1806640625,1,0.68701171875,1,0.68701171875,1598,2791.81,9771.24
Problem_5Sat3Gs_1_8.json,1.5,5,7,-7.07823,0.67138671875,0.19970703125,1,0.67138671875,1,0.67138671875,1598,3249.55,10228.97
Problem_5Sat3Gs_1_8.json,1.5,5,8,-7.07823,0.6845703125,0.185546875,1,0.6845703125,1,0.6845703125,1598,3710.25,10689.68
Problem_5Sat3Gs_1_8.json,1.5,5,9,-7.07823,0.69482421875,0.18017578125,1,0.69482421875,1,0.69482421875,1598,4171.62,11151.04
Problem_5Sat3Gs_1_8.json,1.5,5,10,-7.07823,0.70751953125,0.1796875,1,0.70751953125,1,0.70751953125,1598,4634.58,11614.0
Problem_5Sat3Gs_1_8.json,1.5,6,1,-7.207387,0.72900390625,0.17626953125,1,0.72900390625,1,0.72900390625,2389,845.95,12459.95
Problem_5Sat3Gs_1_8.json,1.5,6,2,-7.207387,0.734375,0.16455078125,1,0.734375,1,0.734375,2389,1656.95,13270.95
Problem_5Sat3Gs_1_8.json,1.5,6,3,-7.207387,0.7333984375,0.171875,1,0.7333984375,1,0.7333984375,2389,2462.93,14076.93
Problem_5Sat3Gs_1_8.json,1.5,6,4,-7.207387,0.7275390625,0.16943359375,1,0.7275390625,1,0.7275390625,2389,3275.36,14889.36
Problem_5Sat3Gs_1_8.json,1.5,6,5,-7.207387,0.7294921875,0.166015625,1,0.7294921875,1,0.7294921875,2389,4089.99,15703.99
Problem_5Sat3Gs_1_8.json,1.5,6,6,-7.207387,0.75048828125,0.15966796875,1,0.75048828125,1,0.75048828125,2389,4903.95,16517.95
Problem_5Sat3Gs_1_8.json,1.5,6,7,-7.207387,0.73583984375,0.16259765625,1,0.73583984375,1,0.73583984375,2389,5721.03,17335.03
Problem_5Sat3Gs_1_8.json,1.5,6,8,-7.207387,0.7255859375,0.177734375,1,0.7255859375,1,0.7255859375,2389,6535.21,18149.21
Problem_5Sat3Gs_1_8.json,1.5,6,9,-7.207387,0.72900390625,0.17333984375,1,0.72900390625,1,0.72900390625,2389,7345.49,18959.49
Problem_5Sat3Gs_1_8.json,1.5,6,10,-7.207387,0.7373046875,0.16943359375,1,0.7373046875,1,0.7373046875,2389,8155.02,19769.02
Problem_5Sat3Gs_1_8.json,1.5,7,1,-7.2082,0.72802734375,0.1708984375,1,0.72802734375,1,0.72802734375,335,161.84,19930.86
Problem_5Sat3Gs_1_8.json,1.5,7,2,-7.2082,0.73974609375,0.1650390625,1,0.73974609375,1,0.73974609375,335,287.33,20056.36
Problem_5Sat3Gs_1_8.json,1.5,7,3,-7.2082,0.724609375,0.1748046875,1,0.724609375,1,0.724609375,335,412.7,20181.73
Problem_5Sat3Gs_1_8.json,1.5,7,4,-7.2082,0.73876953125,0.1630859375,1,0.73876953125,1,0.73876953125,335,537.43,20306.46
